chrom	position	r2_label	r3_primary	r2_junction_support	r2_supporting_support	r3_junction_support	r3_supporting_support	r2_compound_explained	r3_retains_r2_supporting_primary	classification
Chr1	2168212	Os3487_complete#LTR/Gypsy/Os1018_complete#LTR/Gypsy	Os3487_complete#LTR/Gypsy	Os3487_complete#LTR/Gypsy=3	Os1018_complete#LTR/Gypsy=1	Os3487_complete#LTR/Gypsy=5	Os1018_complete#LTR/Gypsy=1	true	true	junction_vs_supporting_family_disagreement
Chr1	3625547	Os3582#DNAnona/Helitron/Os0181#MITE/Stow	Os3582#DNAnona/Helitron	Os3582#DNAnona/Helitron=1	Os0181#MITE/Stow=1	Os3582#DNAnona/Helitron=1	Os0181#MITE/Stow=1	true	true	junction_vs_supporting_family_disagreement
Chr1	6057333	Os1675#DNAauto/CACTA/Os0339#DNAnona/MULE	Os1675#DNAauto/CACTA	Os1675#DNAauto/CACTA=7	Os0339#DNAnona/MULE=1	Os1675#DNAauto/CACTA=7	Os0339#DNAnona/MULE=1	true	true	junction_vs_supporting_family_disagreement
Chr1	11461819	Os2099#LINE/unknown/Os0063#MITE/Stow	Os2099#LINE/unknown	Os2099#LINE/unknown=3	Os0063#MITE/Stow=1	Os2099#LINE/unknown=3	Os0063#MITE/Stow=1	true	true	junction_vs_supporting_family_disagreement
Chr1	11948761	Os3896#SINE/unknown/Os2305_complete#LTR/Copia	Os3896#SINE/unknown	Os3896#SINE/unknown=8	Os2305_complete#LTR/Copia=1	Os3896#SINE/unknown=8	Os2305_complete#LTR/Copia=1	true	true	junction_vs_supporting_family_disagreement
Chr1	14125882	Os3277#DNAnona/MULE/Os0052#DNAauto/CACTA	Os3277#DNAnona/MULE	Os3277#DNAnona/MULE=5	Os0052#DNAauto/CACTA=1	Os3277#DNAnona/MULE=6	Os0052#DNAauto/CACTA=1	true	true	junction_vs_supporting_family_disagreement
Chr1	16883100	Os1582#DNAnona/hAT/Os2125_complete#LTR/Gypsy	Os1582#DNAnona/hAT	Os1582#DNAnona/hAT=9	Os2125_complete#LTR/Gypsy=4	Os1582#DNAnona/hAT=9	Os2125_complete#LTR/Gypsy=6	true	true	junction_vs_supporting_family_disagreement
Chr1	18471322	Os2816#DNAnona/CACTA/Os0240_complete#LTR/Gypsy	Os2816#DNAnona/CACTA	Os2816#DNAnona/CACTA=5	Os0240_complete#LTR/Gypsy=1	Os2816#DNAnona/CACTA=5	Os0240_complete#LTR/Gypsy=1	true	true	junction_vs_supporting_family_disagreement
Chr1	18600554	Os3290_complete#LTR/Gypsy/Os0176_complete#LTR/Copia	Os3290_complete#LTR/Gypsy	Os3290_complete#LTR/Gypsy=1	Os0176_complete#LTR/Copia=2	Os3290_complete#LTR/Gypsy=2	Os0176_complete#LTR/Copia=2	true	true	junction_vs_supporting_family_disagreement
Chr1	27848190	Os3640_complete#LTR/Copia/Os0765#DNAnona/CACTA	Os3640_complete#LTR/Copia	Os3640_complete#LTR/Copia=2,Os0909#MITE/Stow=1,Os1668#MITE/Stow=1	Os0765#DNAnona/CACTA=2	Os3640_complete#LTR/Copia=2,Os0909#MITE/Stow=1,Os1668#MITE/Stow=1	Os0765#DNAnona/CACTA=3	true	true	junction_vs_supporting_family_disagreement
Chr1	29828831	Os0263_complete#LTR/Gypsy/Os0925#DNAnona/CACTA	Os0263_complete#LTR/Gypsy	Os0263_complete#LTR/Gypsy=3	Os0925#DNAnona/CACTA=1	Os0263_complete#LTR/Gypsy=3	Os0925#DNAnona/CACTA=1	true	true	junction_vs_supporting_family_disagreement
Chr1	35017295	Os0065#MITE/Tourist/Os0240_complete#LTR/Gypsy	Os0065#MITE/Tourist	Os0065#MITE/Tourist=1	Os0240_complete#LTR/Gypsy=4	Os0065#MITE/Tourist=1	Os0240_complete#LTR/Gypsy=6	true	true	junction_vs_supporting_family_disagreement
Chr1	36114912	Os2721#DNAnona/hAT/Os2616#MITE/Tourist	Os2721#DNAnona/hAT	Os2721#DNAnona/hAT=2	Os2616#MITE/Tourist=1	Os2721#DNAnona/hAT=2	Os2616#MITE/Tourist=1	true	true	junction_vs_supporting_family_disagreement
